EventTypes,working,commuting,entertainment,home
Speech,2.0,9.3493,17.0893,2.5862
"Male speech, man speaking",0.0556,0.0616,0.5357,0.0
"Female speech, woman speaking",0.0,0.0205,0.3214,0.0
"Child speech, kid speaking",0.0,0.0103,0.0536,0.0
Conversation,0.0,0.0205,0.0,0.0
"Narration, monologue",0.0,0.0,0.0,0.0
Babbling,0.0,0.0,0.0,0.0
Speech synthesizer,0.0,0.0,0.0,0.0
Shout,0.0,0.0,0.0,0.0
Bellow,0.0,0.0,0.0,0.0
Whoop,0.0,0.0,0.0,0.0
Yell,0.0,0.0,0.0,0.0
Battle cry,0.0,0.0,0.0,0.0
Children shouting,0.0,0.0,0.0,0.0
Screaming,0.0,0.0,0.0,0.0
Whispering,0.0,0.0,0.0,0.0
Laughter,0.0,0.0,0.0,0.0
Baby laughter,0.0,0.0,0.0,0.0
Giggle,0.0,0.0,0.0,0.0
Snicker,0.0,0.0103,0.0,0.0
Belly laugh,0.0,0.0,0.0,0.0
"Chuckle, chortle",0.0,0.0205,0.0,0.0
"Crying, sobbing",0.0,0.0,0.0,0.0
"Baby cry, infant cry",0.0,0.0103,0.0,0.0
Whimper,0.0,0.0205,0.0,0.0
"Wail, moan",0.0,0.0,0.0,0.0
Sigh,0.0556,0.0,0.0,0.0
Singing,0.0,0.0,0.0,0.0
Choir,0.0,0.0,0.0,0.0
Yodeling,0.0,0.0,0.0,0.0
Chant,0.0,0.0,0.0,0.0
Mantra,0.0,0.0,0.0,0.0
Male singing,0.0,0.0,0.0,0.0
Female singing,0.0,0.0,0.0,0.0
Child singing,0.0,0.0,0.0,0.0
Synthetic singing,0.0,0.0,0.0,0.0
Rapping,0.0,0.0,0.0,0.0
Humming,0.0,0.0,0.0,0.0
Groan,0.0,0.0,0.0,0.0
Grunt,0.0,0.0,0.0,0.0
Whistling,0.0,0.0,0.0,0.0517
Breathing,0.0,0.0,0.0,0.0
Wheeze,0.0,0.0,0.0,0.0
Snoring,0.0,0.0,0.0,0.0
Gasp,0.0,0.0,0.0,0.0
Pant,0.0,0.0,0.0,0.0
Snort,0.1667,0.0411,0.1071,0.0517
Cough,0.0556,0.0103,0.0,0.0
Throat clearing,0.0,0.0205,0.0536,0.0
Sneeze,0.0556,0.0,0.0,0.0
Sniff,0.0,0.0,0.0,0.0
Run,0.0,0.0616,0.0,0.0517
Shuffle,0.0556,0.0103,0.0,0.0517
"Walk, footsteps",0.2778,0.3288,0.0536,0.0517
"Chewing, mastication",0.0556,0.0,0.0,0.0
Biting,0.0,0.0,0.0,0.0
Gargling,0.0,0.0,0.0,0.0
Stomach rumble,0.0,0.0,0.0,0.0
"Burping, eructation",0.0,0.0,0.0,0.0
Hiccup,0.0,0.0,0.0,0.0
Fart,0.0,0.0,0.0,0.0
Hands,0.0,0.0,0.0,0.0
Finger snapping,0.0,0.0,0.0,0.0
Clapping,0.0,0.0,0.0,0.0
"Heart sounds, heartbeat",0.0,0.0103,0.0,0.0
Heart murmur,0.0,0.0,0.0,0.0
Cheering,0.0,0.0,0.0,0.0
Applause,0.0,0.0,0.0,0.0
Chatter,0.0,0.0205,0.2143,0.0
Crowd,0.0,0.0,0.0,0.0
"Hubbub, speech noise, speech babble",0.0,0.0,0.0,0.0
Children playing,0.0,0.0,0.0,0.0
Animal,0.2778,0.0822,0.0536,0.4655
"Domestic animals, pets",0.0556,0.0308,0.0,0.0517
Dog,0.0,0.0103,0.0,0.0
Bark,0.0,0.0,0.0,0.0
Yip,0.0,0.0,0.0,0.0
Howl,0.0,0.0,0.0,0.0
Bow-wow,0.0,0.0205,0.0,0.0
Growling,0.0,0.0,0.0,0.0
Whimper (dog),0.0,0.0,0.0,0.0
Cat,0.0,0.0103,0.0,0.0
Purr,0.0,0.0,0.0,0.0
